"assumption","matching_type","level","level_numeric","edu_diff_bias","edu_diff_rmse","edu_diff_coverage","same_wp_bias","same_wp_rmse","same_wp_coverage","mediation_pct","mediation_sd","part"
"A5: Multiple mediators","one_sided","two_both_conf",3,0.0583891771777658,0.0782449100480523,0.82,0.153025005598518,0.173279952094355,0.495,36.2713736586196,2.21450290235637,"II"
"A6: Workplace concentration","one_sided","equal",1,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A6: Workplace concentration","one_sided","zipf",2,0.0402362015771157,0.0590369372129083,0.87,0.188832035785164,0.209186320967301,0.365,23.3260048288857,1.89050468101456,"II"
"A7: Direct effect magnitude (beta_edu)","one_sided","-0.3",-0.3,0.0167181459525661,0.0365100493461885,0.905,0.181375940724078,0.208051778317656,0.38,43.8210640365292,4.03358302718276,"II"
"A7: Direct effect magnitude (beta_edu)","one_sided","-0.5",-0.5,0.0229717340823271,0.0423268600340774,0.885,0.182517121025632,0.207863135659232,0.375,34.0963146793753,2.95394244980074,"II"
"A7: Direct effect magnitude (beta_edu)","one_sided","-1",-1,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A7: Direct effect magnitude (beta_edu)","one_sided","-2",-2,0.0769873309873745,0.107934566347528,0.82,0.191775641687496,0.213412644360632,0.305,12.7698698920346,1.36381807748386,"II"
"A7: Direct effect magnitude (beta_edu)","one_sided","-3",-3,0.118443095771319,0.16295637212755,0.775,0.194638374095163,0.217144329348149,0.35,6.05044194517698,1.21987080100964,"II"
"A8: Confounding strength (openness -> wp)","one_sided","0",0,0.018749924476773,0.0514279237027799,0.92,-0.0416577464013366,0.0811125443538407,0.94,21.0626355048494,1.82743900973103,"II"
"A8: Confounding strength (openness -> wp)","one_sided","0.25",0.25,0.0185337445606717,0.0522679071514443,0.905,0.00108327282807941,0.0810480014298351,0.94,21.6224630315446,1.84095704659058,"II"
"A8: Confounding strength (openness -> wp)","one_sided","0.5",0.5,0.0288805730068173,0.056025341634037,0.89,0.0703282273835806,0.104486913301545,0.84,22.4778281995149,1.90448344800169,"II"
"A8: Confounding strength (openness -> wp)","one_sided","1",1,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A8: Confounding strength (openness -> wp)","one_sided","1.5",1.5,0.0457183370148663,0.0628433180774395,0.81,0.257999359717938,0.275439480879946,0.13,23.528370267806,1.85778843065551,"II"
"A8: Confounding strength (openness -> wp)","one_sided","2",2,0.0512374548778601,0.0690869478560606,0.78,0.311087938962973,0.32308528069298,0.045,23.4980265071597,1.89666168995202,"II"
"A8: Confounding strength (openness -> wp)","one_sided","3",3,0.0540162355176111,0.0705850954675698,0.765,0.37865694866699,0.390656289833204,0.01,23.0105685331676,1.91433790294014,"II"
