"rep","condition","acceptance_rate","method","r_full","rho_full","r_diag","rho_diag","r_off","rho_off","r_sym","r_min","rmse_full","rmse_diag","pairing_rate","elapsed_sec"
5,"bilateral",0.5,"crude_ratio",0.351823828120326,0.0100328535042946,0.561236717026734,0.2,-0.468355747696633,-0.554684194630173,0.35696295483206,0.361927417230841,1.04125154795807,2.01170189287276,0.9998,1.51749992370605
5,"bilateral",0.5,"loglinear_3way",0.317254678340335,-0.116149573261257,0.116223277663731,0.3,-0.632629103187141,-0.761271896040865,0.317811140480161,0.323925193160572,1.04541229350243,2.06120710045716,0.9998,1.51749992370605
5,"bilateral",0.5,"clogit_K2",0.798070700755325,0.945789382270237,0.552047447510313,0.7,0.927906847445306,0.89824029880766,0.793399217031404,0.795005554454709,0.78769855336131,1.04802468674393,0.9998,1.51749992370605
5,"bilateral",0.75,"crude_ratio",-0.629300393866156,-0.882505229396994,-0.65978622018206,-0.7,-0.801962025441671,-0.846782556331737,-0.631645381542981,-0.633834460574342,1.51839830095391,2.63783425567174,0.999,1.56374406814575
5,"bilateral",0.75,"loglinear_3way",-0.615053652316633,-0.880575834492322,0.064626078350963,0.1,-0.793946746169714,-0.868727770034705,-0.618870812731014,-0.614996185926438,1.51362008047245,2.95226748457631,0.999,1.56374406814575
5,"bilateral",0.75,"clogit_K2",0.62045394752389,0.87517352875924,0.165068671299657,-0.2,0.927781113257235,0.938347068678601,0.613389021182609,0.613909759139886,0.890807286269474,1.84152418775484,0.999,1.56374406814575
6,"bilateral",0.25,"crude_ratio",0.710189836468693,0.304072636976315,0.738410732377998,0.7,-0.453812168170309,-0.332961863079504,0.713624140076679,0.711677633449731,1.23941786821887,1.61851400553732,0.9978,1.53249597549438
6,"bilateral",0.25,"loglinear_3way",0.772820985141027,0.1794337261345,0.536473871406203,0.3,-0.586841442138715,-0.571332287784148,0.774169527723264,0.772450120993581,0.755876437930652,1.17311434610122,0.9978,1.53249597549438
6,"bilateral",0.25,"clogit_K2",0.905431439280584,0.958137509660138,0.940827124778128,0.9,0.902083514411378,0.919428781003629,0.9020506768099,0.900738769865167,0.819870245317991,0.560218308258434,0.9978,1.53249597549438
6,"bilateral",0.5,"crude_ratio",0.383598887557754,0.0636700318541775,0.782470641828651,0.7,-0.451677768401882,-0.491118748042268,0.386134461327018,0.391045881707853,1.02807290897719,2.00392346262293,0.9996,1.55692911148071
6,"bilateral",0.5,"loglinear_3way",0.339962688320073,-0.0675288216635216,0.269957744925113,0.4,-0.618117969034773,-0.711327616578939,0.339765967027202,0.345002572486791,1.03796733146098,2.05306155188528,0.9996,1.55692911148071
6,"bilateral",0.5,"clogit_K2",0.78726433822532,0.943088229403696,0.636369061322178,0.7,0.921004287696983,0.901267224835656,0.781836354580209,0.783312820299287,0.820772739486875,1.01542305499963,0.9996,1.55692911148071
6,"bilateral",0.75,"crude_ratio",-0.52997007937732,-0.814590528752538,-0.36888675067482,-0.1,-0.779792067681908,-0.818783490572779,-0.529779670201747,-0.53149782927112,1.53062542190973,2.52752732490086,0.9998,1.54814600944519
6,"bilateral",0.75,"loglinear_3way",-0.51832997699921,-0.851634910922241,0.161628496157352,0.3,-0.790394201200763,-0.880078742639688,-0.520851291552628,-0.516461212673322,1.51574065569698,2.88063531133798,0.9998,1.54814600944519
6,"bilateral",0.75,"clogit_K2",0.69440124202577,0.934213012842205,0.377112098777523,0.6,0.944866839699103,0.942887457720594,0.687854642976947,0.68941725136855,0.834929902501297,1.75517254670675,0.9998,1.54814600944519
